Ban1,Ban1Id,Ban2,Ban2Id,Entry_Datetime,LiveSpectators,Match,Match_Time,OfflineSpectators,Queue,RecordingFinished,RecordingStarted,Team1_AvgLevel,Team1_Gold,Team1_Kills,Team1_Score,Team2_AvgLevel,Team2_Gold,Team2_Kills,Team2_Score,WinningTeam,ret_msg
Ao Kuang,2034,Fafnir,2136,10/29/2016 10:37:08 PM,3,289724972,32,12,Conquest Challenge,10/29/2016 10:44:19 PM,10/29/2016 10:44:19 PM,19,64213,9,0,19,77653,13,0,2,
Terra,2147,Ao Kuang,2034,10/28/2016 3:04:46 AM,4,289227191,31,10,Conquest Challenge,10/28/2016 3:11:53 AM,10/28/2016 3:11:53 AM,19,80490,23,0,17,59672,5,0,1,
Terra,2147,Fafnir,2136,10/27/2016 6:15:39 PM,0,289120587,36,8,Conquest Ranked,10/27/2016 6:23:54 PM,10/27/2016 6:23:54 PM,19,78463,38,0,19,88939,37,0,2,
Freya,1784,Erlang Shen,2138,11/4/2016 8:15:14 PM,0,291157136,37,7,Joust Ranked (1v1),11/4/2016 8:17:51 PM,11/4/2016 8:17:51 PM,20,30982,4,0,20,31353,4,0,1,
Terra,2147,Ao Kuang,2034,10/30/2016 7:59:02 PM,0,289983319,32,7,Conquest Ranked,10/30/2016 8:05:30 PM,10/30/2016 8:05:30 PM,19,76182,24,0,19,76450,35,0,1,
Fafnir,2136,Terra,2147,10/25/2016 8:11:36 PM,0,288709310,33,7,Conquest Ranked,10/25/2016 8:16:51 PM,10/25/2016 8:16:51 PM,20,84487,28,0,19,79564,30,0,1,
Ao Kuang,2034,Terra,2147,11/6/2016 2:13:51 PM,2,291687186,32,6,Conquest Ranked,11/6/2016 2:21:27 PM,11/6/2016 2:21:27 PM,19,80761,32,0,19,76380,29,0,1,
Erlang Shen,2138,Fafnir,2136,11/2/2016 10:14:08 AM,0,290605733,32,5,Conquest Ranked,11/2/2016 10:21:05 AM,11/2/2016 10:21:05 AM,19,84930,37,0,19,74659,36,0,1,
Ao Kuang,2034,Terra,2147,11/1/2016 6:17:42 PM,1,290454455,33,5,Conquest Ranked,11/1/2016 6:24:27 PM,11/1/2016 6:24:27 PM,19,80858,37,0,19,76155,25,0,1,
Ao Kuang,2034,Terra,2147,11/1/2016 11:09:00 AM,1,290377175,33,5,Conquest Ranked,11/1/2016 11:16:03 AM,11/1/2016 11:16:03 AM,19,84453,39,0,19,74428,29,0,1,
Chronos,1920,Erlang Shen,2138,10/28/2016 7:44:42 PM,2,289374678,30,5,Joust Ranked (1v1),10/28/2016 7:46:11 PM,10/28/2016 7:46:11 PM,20,24600,1,0,20,24963,2,0,2,
Erlang Shen,2138,Terra,2147,11/5/2016 12:36:45 AM,0,291222420,32,4,Conquest Ranked,11/5/2016 12:43:43 AM,11/5/2016 12:43:43 AM,19,78229,27,0,19,73571,23,0,1,
Terra,2147,Ao Kuang,2034,11/4/2016 9:54:29 PM,1,291183384,42,4,Conquest Ranked,11/4/2016 10:01:32 PM,11/4/2016 10:01:32 PM,19,78883,22,0,20,98838,37,0,2,
